0|22|20, -63, -1315, -111
1|3|22, 72, -76, 1140
1|7|0, -31, -80, -1242
1|14|4, -1301, -42, -39
1|15|10, 59, 1243, -33
1|27|7, 1264, 46, -173
2|13|3, 1230, -50, 102
4|10|21, -114, -1084, -36
5|8|12, -116, 186, 1196
5|12|0, -128, 1290, -134
5|15|9, -1243, 9, -34
6|7|17, -14, -33, 1320
6|15|4, 1195, -123, -3
7|16|12, 1170, -46, 1
7|25|16, -24, 1149, 194
8|24|8, 1259, -101, 49
9|17|20, -113, 1260, 64
10|15|21, 12, -1144, 112
10|27|18, -128, 61, -1085
11|21|14, 3, 4, -1271
13|19|8, 1155, 108, -65
13|25|5, -105, -1270, -35
14|17|22, 23, 1101, 61
14|23|1, 19, 15, -1172
16|27|13, 1023, 125, -125
18|23|8, -75, 1288, 33
19|21|3, -1291, -123, -21
20|23|19, -1061, 45, -37
21|25|10, -1383, -51, -87
22|24|20, -25, -80, 1162
22|26|18, -1204, 37, -98
